symbol,enabled
RELIANCE,true
TCS,false
INFY,false
HDFCBANK,false
ICICIBANK,true
SBIN,true
LT,false
ITC,true
AXISBANK,true
BHARTIARTL,true
ITDC,true
JINDRILL,true
CUPID,true
SIGNATURE,trueCGCL,true
WELCORP,true
IFCI,true
